name,flight_radius,battery_life,payload_capacity,camera_resolution,sensor_capabilities,wind_tolerance,weather_resistance,durability,range_of_communication,type_of_propulsion,noise_level,gps_accuracy,obstacle_detection
DJI Phantom 4 Pro,7,30,1.5,20,High,10,Moderate,8,7,Electric,60,0.5,Yes
DJI Mavic Air 2,10,34,0.5,48,High,8,High,9,10,Electric,55,0.3,Yes
Parrot Anafi,4,25,0.5,21,Medium,10,Low,7,4,Electric,50,1,No
Yuneec Typhoon H Pro,8,25,1,12.4,High,8,High,8,8,Electric,70,0.5,Yes
Autel Evo II,9,40,2,48,High,12,High,9,9,Electric,65,0.5,Yes
DJI Inspire 2,5,27,1.8,20.8,High,12,High,9,6,Electric,70,0.5,Yes
DJI Matrice 300 RTK,15,55,2.7,24,High,15,High,10,15,Electric,65,0.1,Yes
DJI Matrice 600 Pro,10,35,5.5,24,High,15,High,10,10,Electric,65,0.5,Yes
Parrot Bebop 2,4,25,0.5,14,Medium,8,Low,7,4,Electric,50,0.5,No
Yuneec Mantis Q,5,33,0.5,13,Medium,10,Moderate,8,5,Electric,55,0.5,No
DJI Mini 2,10,31,0.3,12,Medium,8,Moderate,8,10,Electric,60,0.3,No
Autel X-Star Premium,6,25,1.5,12,High,10,Moderate,8,6,Electric,65,0.5,Yes
Walkera Voyager 4,5,20,1.5,18,High,12,High,9,5,Electric,70,0.5,Yes
Holy Stone HS100,5,18,0.5,12,Low,8,Moderate,7,5,Electric,60,0.5,No
Potensic T25,3,15,0.5,12,Low,8,Low,6,3,Electric,60,0.5,No
Syma X8 Pro,4,15,0.5,12,Low,8,Low,6,4,Electric,60,0.5,No
Cheerson CX-20,2,15,0.3,5,Low,6,Low,6,2,Electric,70,1,No
Hubsan H501S,6,20,0.3,10,Low,8,Low,7,6,Electric,55,0.5,No
Ehang Ghostdrone 2.0,5,25,1,12,Medium,10,Moderate,8,5,Electric,60,0.5,No
JJRC H68,3,18,0.5,12,Low,8,Low,7,3,Electric,60,0.5,No
Hubsan Zino Pro,4,23,0.3,12,Low,8,Moderate,7,4,Electric,60,0.5,No
Force1 F200W,2,15,0.5,12,Low,8,Low,6,2,Electric,60,0.5,No
Eachine E58,2,15,0.3,12,Low,8,Low,6,2,Electric,60,0.5,No
Syma X5C,2,7,0.1,2,Low,5,Low,5,2,Electric,60,1,No
Hubsan H502S,6,13,0.2,5,Low,8,Low,6,6,Electric,55,0.5,No
MJX Bugs 3,2,15,0.3,5,Low,8,Low,6,2,Electric,70,1,No
Cheerwing CW4,1,8,0.2,2,Low,5,Low,5,1,Electric,70,1,No
HS170 Predator,1,7,0.1,2,Low,5,Low,5,1,Electric,70,1,No
Potensic T18,3,10,0.3,5,Low,8,Low,6,3,Electric,70,1,No
Contixo F18,5,20,0.5,10,Medium,10,Moderate,8,5,Electric,60,0.5,No
UDI U818A,2,9,0.1,2,Low,5,Low,5,2,Electric,70,1,No
Holy Stone HS720,7,26,0.5,12,Medium,8,Moderate,8,7,Electric,55,0.5,Yes
Snaptain SP510,5,16,0.3,12,Low,8,Low,7,5,Electric,60,0.5,No
Potensic D80,4,20,1,12,Medium,10,Moderate,8,4,Electric,60,0.5,Yes
Altair AA108,2,10,0.1,5,Low,8,Low,6,2,Electric,70,1,No
Force1 F100,3,20,0.5,12,Low,8,Low,6,3,Electric,60,0.5,No
GoolRC T32,2,10,0.2,5,Low,8,Low,6,2,Electric,60,1,No
DJI Spark,2,16,0.3,12,Low,8,Moderate,8,2,Electric,60,0.5,Yes
MJX X708W,2,10,0.2,5,Low,8,Low,6,2,Electric,70,1,No
Syma X22W,2,8,0.1,2,Low,5,Low,5,2,Electric,60,1,No
Holy Stone HS700D,5,22,0.5,12,Medium,10,Moderate,8,5,Electric,60,0.5,Yes
Potensic A20,1,6,0.1,2,Low,5,Low,5,1,Electric,70,1,No
Eachine E511S,4,18,0.3,12,Low,8,Low,7,4,Electric,60,0.5,No
Cheerson CX-10,1,5,0.1,2,Low,5,Low,5,1,Electric,70,1,No
JJRC H36,1,6,0.1,2,Low,5,Low,5,1,Electric,70,1,No
Holy Stone HS110D,3,10,0.3,12,Low,8,Low,6,3,Electric,60,0.5,No
Potensic T35,5,20,1,12,Medium,10,Moderate,8,5,Electric,60,0.5,Yes
Snaptain SP650,3,16,0.3,12,Low,8,Low,7,3,Electric,60,0.5,No
